epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.53,2.77515,2.94254,3.06447,0.13763,0.18928,0.06206,0.02146,1.31786,20.209,1.51891,0.000997895,0.000997895,0.0410189
2,160.008,2.26126,2.59813,2.546,0.32092,0.23484,0.1716,0.0573,1.21345,12.6617,1.45119,0.00197794,0.00197794,0.031999
3,235.275,2.15501,2.49085,2.42283,0.26458,0.26968,0.1766,0.06506,1.15552,3.24147,1.34772,0.002938,0.002938,0.022959
4,309.585,2.08681,2.39056,2.33651,0.44666,0.25572,0.22852,0.0879,1.15158,33.5993,1.40776,0.00387808,0.00387808,0.0138991
5,382.803,2.03076,2.33044,2.29806,0.40046,0.29425,0.25592,0.09714,1.15687,4.7572,1.37733,0.00479818,0.00479818,0.00481923
6,455.415,1.97195,2.24249,2.2357,0.36121,0.20659,0.11026,0.03703,1.23817,60.8931,1.58441,0.00475025,0.00475025,0.00475025
7,527.386,1.93235,2.20005,2.20194,0.51047,0.27136,0.27747,0.11358,1.13301,4.11117,1.37218,0.0047003,0.0047003,0.0047003
8,599.678,1.90565,2.15175,2.17394,0.56009,0.36895,0.38881,0.17321,1.05232,2.91782,1.26515,0.00465035,0.00465035,0.00465035
9,672.274,1.85692,2.12571,2.1514,0.41711,0.27471,0.25503,0.0959,1.13309,8.45854,1.41663,0.0046004,0.0046004,0.0046004
10,743.704,1.85568,2.09824,2.13115,0.51883,0.39698,0.39889,0.18049,1.01996,1.57421,1.23402,0.00455045,0.00455045,0.00455045
11,816.649,1.84122,2.06509,2.11777,0.59104,0.37353,0.41245,0.18896,1.02798,2.28126,1.23037,0.0045005,0.0045005,0.0045005
12,891.674,1.822,2.03553,2.0957,0.58224,0.40759,0.42674,0.20498,1.00914,2.35532,1.22464,0.00445055,0.00445055,0.00445055
