epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,237.864,0.55913,3.46331,0.49249,0.7015,0.54495,0.56775,0.34874,0.24255,2.05352,0.27116,1.99579e-05,1.99579e-05,2.79621e-05
2,469.619,0.48836,0.70506,0.44683,0.7444,0.58794,0.65203,0.42112,0.22427,1.70844,0.25012,3.95584e-05,3.95584e-05,4.55626e-05
3,698.327,0.44534,0.69202,0.3977,0.72915,0.58471,0.64807,0.41883,0.22673,0.63612,0.26579,5.87589e-05,5.87589e-05,6.27631e-05
4,926.165,0.42809,0.6726,0.38477,0.79056,0.57956,0.67351,0.44266,0.22382,0.58109,0.26779,7.75594e-05,7.75594e-05,7.95636e-05
5,1152.4,0.41142,0.67056,0.36834,0.77339,0.61551,0.69453,0.46259,0.21474,0.42876,0.24352,9.596e-05,9.596e-05,9.59642e-05
6,1378.72,0.40717,0.65117,0.35713,0.77156,0.62032,0.68344,0.45715,0.22058,0.51545,0.24339,9.50005e-05,9.50005e-05,9.50005e-05
7,1604.37,0.39914,0.63856,0.34548,0.78008,0.62385,0.69492,0.46579,0.21876,0.55484,0.24713,9.40006e-05,9.40006e-05,9.40006e-05
8,1830.13,0.37883,0.63491,0.3363,0.77129,0.61762,0.69075,0.46305,0.22252,0.43362,0.25675,9.30007e-05,9.30007e-05,9.30007e-05
9,2058.74,0.39139,0.62256,0.33858,0.78407,0.60637,0.69316,0.46071,0.22257,0.35894,0.25569,9.20008e-05,9.20008e-05,9.20008e-05
10,2285.63,0.37947,0.60589,0.33221,0.76488,0.62982,0.69954,0.46565,0.22555,0.38107,0.25932,9.10009e-05,9.10009e-05,9.10009e-05
11,2513.72,0.37628,0.59261,0.33021,0.77576,0.62423,0.70104,0.46517,0.22493,0.38395,0.26501,9.0001e-05,9.0001e-05,9.0001e-05
12,2742.94,0.36836,0.60188,0.31603,0.77414,0.61921,0.69852,0.46139,0.22452,0.40158,0.26045,8.90011e-05,8.90011e-05,8.90011e-05
13,2968.62,0.36614,0.58386,0.31884,0.74825,0.64266,0.70227,0.47418,0.22326,0.36036,0.2489,8.80012e-05,8.80012e-05,8.80012e-05
14,3194.64,0.36194,0.57901,0.31313,0.79917,0.62591,0.70163,0.46596,0.23368,0.38496,0.2639,8.70013e-05,8.70013e-05,8.70013e-05
15,3420.23,0.36109,0.5707,0.30827,0.75832,0.64545,0.70918,0.47376,0.22472,0.36123,0.2551,8.60014e-05,8.60014e-05,8.60014e-05
16,3645.93,0.3551,0.56285,0.30489,0.76657,0.62892,0.71078,0.46692,0.23102,0.34587,0.26504,8.50015e-05,8.50015e-05,8.50015e-05
17,3870.91,0.34911,0.55209,0.30039,0.7575,0.63486,0.70183,0.47139,0.22682,0.39143,0.26093,8.40016e-05,8.40016e-05,8.40016e-05
18,4096.31,0.34029,0.55501,0.28983,0.77879,0.62423,0.70641,0.46882,0.23249,0.33374,0.2687,8.30017e-05,8.30017e-05,8.30017e-05
19,4321.59,0.35011,0.53877,0.29326,0.79762,0.64545,0.71626,0.48338,0.22865,0.33478,0.26205,8.20018e-05,8.20018e-05,8.20018e-05
20,4547.38,0.33508,0.54402,0.28735,0.78457,0.65885,0.73045,0.48365,0.22682,0.36939,0.25326,8.10019e-05,8.10019e-05,8.10019e-05
21,4773.31,0.33921,0.52842,0.28049,0.76963,0.64727,0.70762,0.47669,0.23287,0.33954,0.26352,8.0002e-05,8.0002e-05,8.0002e-05
22,4999.14,0.33231,0.52981,0.28301,0.76086,0.63776,0.69173,0.4655,0.23532,0.32983,0.27407,7.90021e-05,7.90021e-05,7.90021e-05
23,5224.84,0.33325,0.52552,0.28015,0.79674,0.64377,0.71333,0.48569,0.23747,0.33259,0.26995,7.80022e-05,7.80022e-05,7.80022e-05
24,5451.21,0.336,0.50885,0.27947,0.79143,0.62926,0.69987,0.47055,0.2402,0.32822,0.28457,7.70023e-05,7.70023e-05,7.70023e-05
25,5678.28,0.32579,0.51279,0.27293,0.79993,0.62953,0.70463,0.47882,0.2354,0.31993,0.26976,7.60024e-05,7.60024e-05,7.60024e-05
26,5906.77,0.31955,0.50493,0.27925,0.79772,0.64433,0.7142,0.47908,0.24319,0.35106,0.28139,7.50025e-05,7.50025e-05,7.50025e-05
27,6134.33,0.31719,0.49332,0.2701,0.79087,0.63149,0.70585,0.47257,0.24019,0.31666,0.27841,7.40026e-05,7.40026e-05,7.40026e-05
28,6362.12,0.31471,0.49787,0.26691,0.80472,0.63987,0.70996,0.48054,0.2391,0.33605,0.27669,7.30027e-05,7.30027e-05,7.30027e-05
29,6589.32,0.31153,0.48936,0.27016,0.81864,0.62814,0.71083,0.47467,0.24914,0.29086,0.29508,7.20028e-05,7.20028e-05,7.20028e-05
30,6815.8,0.30823,0.49017,0.26469,0.79521,0.63959,0.70528,0.47548,0.2417,0.317,0.27238,7.10029e-05,7.10029e-05,7.10029e-05
31,7043.08,0.30876,0.4861,0.26433,0.79051,0.63418,0.70517,0.47689,0.24547,0.30146,0.28188,7.0003e-05,7.0003e-05,7.0003e-05
32,7269.7,0.30622,0.48466,0.25125,0.799,0.64545,0.71295,0.48024,0.24808,0.31151,0.28838,6.90031e-05,6.90031e-05,6.90031e-05
33,7495.63,0.299,0.47848,0.24955,0.78691,0.64743,0.70723,0.47927,0.24287,0.30499,0.27944,6.80032e-05,6.80032e-05,6.80032e-05
