epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5219,1.78435,2.37626,2.05119,0.19051,0.1809,0.09022,0.03229,1.26945,19.2917,1.63262,0.000995798,0.000995798,0.0410378
2,94.1354,1.91079,2.36953,2.16189,0.0649,0.14238,0.01987,0.00484,1.41572,651.572,1.90392,0.00197586,0.00197586,0.0320179
3,137.31,1.82631,2.28654,2.11163,0.31827,0.33668,0.2241,0.07801,1.10757,6.99451,1.32766,0.00293594,0.00293594,0.022978
4,179.738,1.76336,2.19173,2.05681,0.42551,0.26466,0.21898,0.07835,1.16708,114.958,1.488,0.00387604,0.00387604,0.0139181
5,221.996,1.75215,2.15794,2.03567,0.41762,0.37353,0.31853,0.12344,1.11107,14.1887,1.34004,0.00479617,0.00479617,0.00483818
6,263.889,1.72939,2.12332,2.01618,0.48671,0.29425,0.27048,0.10058,1.13134,32.4793,1.39453,0.00475025,0.00475025,0.00475025
7,305.04,1.69293,2.06008,1.98575,0.52651,0.34953,0.36173,0.1583,1.03105,1.2635,1.2475,0.0047003,0.0047003,0.0047003
8,346.869,1.69034,2.06133,1.97188,0.50424,0.35008,0.33289,0.14388,1.07127,16.1961,1.2994,0.00465035,0.00465035,0.00465035
9,388.823,1.65216,1.98661,1.94718,0.49577,0.34729,0.35085,0.14583,1.04517,20.5323,1.28916,0.0046004,0.0046004,0.0046004
10,430.286,1.63774,1.9652,1.92647,0.52316,0.35678,0.37042,0.17066,1.00162,32.5299,1.22173,0.00455045,0.00455045,0.00455045
11,472.372,1.60892,1.92054,1.89872,0.55187,0.3445,0.34344,0.14842,1.06929,23.4116,1.29848,0.0045005,0.0045005,0.0045005
12,513.81,1.59532,1.90336,1.90131,0.53247,0.40571,0.39163,0.178,1.03343,1.36006,1.2743,0.00445055,0.00445055,0.00445055
13,555.028,1.58273,1.87767,1.89515,0.55562,0.36907,0.393,0.1712,1.05702,1.46114,1.31044,0.0044006,0.0044006,0.0044006
14,596.332,1.57718,1.84704,1.87554,0.62547,0.47125,0.50519,0.24954,0.9533,2.86445,1.16761,0.00435065,0.00435065,0.00435065
15,637.803,1.5728,1.82793,1.87293,0.58759,0.4584,0.49131,0.23836,0.93505,1.23491,1.15314,0.0043007,0.0043007,0.0043007
16,678.551,1.55783,1.80533,1.85385,0.58506,0.44891,0.46817,0.21966,0.99971,1.09125,1.20977,0.00425075,0.00425075,0.00425075
17,720.339,1.53316,1.79423,1.85159,0.60907,0.46018,0.49084,0.23314,0.98197,3.54487,1.19888,0.0042008,0.0042008,0.0042008
18,761.798,1.53061,1.76993,1.83689,0.62451,0.41485,0.4664,0.22719,0.97572,2.14153,1.21395,0.00415085,0.00415085,0.00415085
19,803.423,1.52447,1.75594,1.83174,0.58646,0.38973,0.42622,0.21388,0.95873,19.5962,1.17022,0.0041009,0.0041009,0.0041009
20,844.845,1.52833,1.75323,1.82879,0.61796,0.4584,0.49822,0.2467,0.94049,2.27328,1.14958,0.00405095,0.00405095,0.00405095
