epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.454,1.86008,2.50621,2.17163,0.01167,0.16025,0.0074,0.00214,1.49188,157.302,2.35977,0.000995798,0.000995798,0.0410378
2,205.85,1.95484,2.50608,2.23539,0.06339,0.11334,0.03034,0.00908,1.44686,630.634,1.81072,0.00197586,0.00197586,0.0320179
3,303.966,1.85777,2.38981,2.17561,0.41547,0.34227,0.2823,0.10477,1.10926,10.4979,1.35271,0.00293594,0.00293594,0.022978
4,398.982,1.78195,2.25474,2.08497,0.40252,0.25907,0.22059,0.08001,1.10433,33.7724,1.42626,0.00387604,0.00387604,0.0139181
5,493.173,1.77761,2.22732,2.07298,0.34154,0.28587,0.22131,0.07641,1.19667,8.79749,1.459,0.00479617,0.00479617,0.00483818
6,587.531,1.75522,2.18357,2.05262,0.46367,0.30207,0.26311,0.10091,1.12889,19.9291,1.42052,0.00475025,0.00475025,0.00475025
7,681.748,1.71803,2.12065,2.02838,0.49222,0.35181,0.33368,0.14103,1.02396,5.528,1.28329,0.0047003,0.0047003,0.0047003
8,775.5,1.69677,2.10547,1.99896,0.49143,0.26019,0.28206,0.11091,1.10318,1.34006,1.40523,0.00465035,0.00465035,0.00465035
9,869.949,1.67975,2.04493,1.98709,0.41862,0.25461,0.22602,0.08415,1.11321,63.1882,1.44359,0.0046004,0.0046004,0.0046004
10,964.257,1.66729,2.0437,1.96991,0.46465,0.30821,0.30615,0.12555,1.08202,9.53685,1.36993,0.00455045,0.00455045,0.00455045
11,1058.16,1.65157,1.99199,1.95389,0.52878,0.38157,0.39107,0.17522,0.98823,2.50959,1.22463,0.0045005,0.0045005,0.0045005
12,1153.88,1.61914,1.97121,1.93918,0.40954,0.2976,0.26909,0.1069,1.08446,45.4541,1.37406,0.00445055,0.00445055,0.00445055
13,1248.11,1.60854,1.93145,1.92488,0.54351,0.37409,0.37731,0.17495,1.01824,6.88248,1.26717,0.0044006,0.0044006,0.0044006
14,1342.38,1.60654,1.92621,1.91824,0.55764,0.41988,0.45078,0.22126,0.97515,1.93515,1.20516,0.00435065,0.00435065,0.00435065
15,1436.95,1.60488,1.89838,1.91608,0.54229,0.38861,0.40725,0.19075,0.9978,3.54585,1.23518,0.0043007,0.0043007,0.0043007
16,1531.34,1.58768,1.88091,1.90157,0.55091,0.41165,0.4448,0.20991,0.97108,4.13558,1.2097,0.00425075,0.00425075,0.00425075
17,1625.21,1.56061,1.86244,1.89656,0.58015,0.36516,0.41428,0.19209,0.99781,1.32679,1.26004,0.0042008,0.0042008,0.0042008
18,1719.37,1.56816,1.8506,1.89257,0.60118,0.36069,0.41263,0.19915,0.98503,2.25601,1.24636,0.00415085,0.00415085,0.00415085
19,1813.57,1.55069,1.82146,1.87612,0.21154,0.28836,0.17498,0.06977,1.13845,46.5724,1.49408,0.0041009,0.0041009,0.0041009
